432884 Sector 6  224836 0.384312 1.22438
432884 Sector 7  462870 0.0422829 1.40298
432885 Sector 0  170113 6.01914 0.514705
432885 Sector 1  160927 5.99179 0.531262
432885 Sector 2  153110 6.19574 0.578725
432885 Sector 3  122158 6.12811 0.669828
432885 Sector 4  142905 1.06366 0.643956
432885 Sector 5  166862 1.76028 0.52298
432885 Sector 6  136502 0.335694 1.32372
432885 Sector 7  421981 0.0472456 1.33721
432886 Sector 0  194857 5.99173 0.512929
432886 Sector 1  184260 5.97644 0.530124
432886 Sector 2  175501 6.18236 0.575089
432886 Sector 3  140742 6.09565 0.665082
432886 Sector 4  164844 1.00164 0.636985
432886 Sector 5  192280 1.71518 0.51506
432886 Sector 6  186642 0.167014 1.27406
432886 Sector 7  604523 -0.317817 1.27639
432894 Sector 0  25791.2 6.212 0.540378
432894 Sector 1  24251.8 6.18022 0.557855
432894 Sector 2  23660.4 6.38175 0.574252
432894 Sector 3  18819.3 6.32236 0.671806
432894 Sector 4  22330.6 1.24788 0.650552
432894 Sector 5  25242.6 1.9475 0.552892
432894 Sector 6  25156.5 0.483242 1.33472
432894 Sector 7  105282 0.333138 1.31401
432895 Sector 0  161023 6.38532 0.550006
432895 Sector 1  150531 6.34009 0.577091
432895 Sector 2  142666 6.55861 0.632164
432895 Sector 3  110141 6.51131 0.74168
432895 Sector 4  129324 1.31474 0.717033
432895 Sector 5  160323 2.05331 0.554104
432895 Sector 6  139550 0.744467 1.45191
432895 Sector 7  386577 0.37677 1.34605
432896 Sector 0  227293 6.49262 0.544246
432896 Sector 1  211856 6.45554 0.573148
432896 Sector 2  201017 6.65778 0.628737
432896 Sector 3  152877 6.61334 0.754507
432896 Sector 4  179104 1.45591 0.742455
432896 Sector 5  222033 2.18347 0.560995
432896 Sector 6  168036 1.0141 1.49234
432896 Sector 7  413969 0.555281 1.39652
432898 Sector 0  96973.7 6.35944 0.546151
432898 Sector 1  91468.8 6.30404 0.560988
432898 Sector 2  87998.4 6.50457 0.594814
432898 Sector 3  66996.8 6.46256 0.726095
432898 Sector 4  76944.6 1.26908 0.71585
432898 Sector 5  96197.6 2.01381 0.546992
432898 Sector 6  86868.2 0.679265 1.41577
432898 Sector 7  202688 0.189676 1.4134
432899 Sector 0  15932.3 6.2518 0.538628
432899 Sector 1  14931 6.21029 0.563785
432899 Sector 2  14509.5 6.39418 0.583042
432899 Sector 3  11115.3 6.32529 0.701813
432899 Sector 4  12669.7 1.17892 0.705952
432899 Sector 5  15504.7 1.93504 0.553494
432899 Sector 6  13646.1 0.528915 1.418
432899 Sector 7  38120.5 0.0063724 1.37674
432900 Sector 0  74218.4 6.28874 0.530697
432900 Sector 1  68934.6 6.24222 0.557911
432900 Sector 2  66298.4 6.45099 0.589774
432900 Sector 3  51506.5 6.39883 0.701212
432900 Sector 4  59279 1.21412 0.690523
432900 Sector 5  71657.4 1.95992 0.550702
432900 Sector 6  60025.3 0.585407 1.46242
432900 Sector 7  173551 0.0941296 1.36811
432999 Sector 0  58700 6.13093 0.547942
432999 Sector 1  55364.5 6.09117 0.566999
432999 Sector 2  53868.9 6.27853 0.588351
432999 Sector 3  41612.4 6.21718 0.71076
432999 Sector 4  46907.4 1.05539 0.721976
432999 Sector 5  59328 1.81247 0.531214
432999 Sector 6  63937.8 0.0386501 1.20731
432999 Sector 7  123565 -0.536262 1.40584
433000 Sector 0  31514 5.95658 0.535225
433000 Sector 1  30092.7 5.91591 0.540551
433000 Sector 2  28604.6 6.10712 0.590256
433000 Sector 3  22599.5 6.00463 0.683942
433000 Sector 4  25249 0.906574 0.701838
433000 Sector 5  31206.3 1.65993 0.535549
433000 Sector 6  30913 -0.304681 1.21606
433000 Sector 7  72838.5 -0.849498 1.30225
433001 Sector 0  22021.1 5.99985 0.526891
433001 Sector 1  20796.2 5.96379 0.545165
433001 Sector 2  19745.8 6.16878 0.593402
433001 Sector 3  15698.2 6.09171 0.68789
433001 Sector 4  17684.8 0.944959 0.680047
433001 Sector 5  21770.4 1.69313 0.526508
433001 Sector 6  20665.5 -0.173101 1.23098
433001 Sector 7  52914.9 -0.721661 1.28945
433003 Sector 0  117755 5.99109 0.517509
433003 Sector 1  111553 5.95485 0.533705
